Date,Open,High,Low,Close,Volume,Adj Close
18/07/2014,42.14,42.47,42.02,42.43,19272400,41.48969
17/07/2014,41.93,42.15,41.83,42.02,9983500,41.08877
16/07/2014,42.26,42.39,42.02,42.12,10331400,41.18655
15/07/2014,42.41,42.43,41.95,42.1,10541900,41.167
14/07/2014,41.99,42.39,41.98,42.38,11857700,41.4408
11/07/2014,42.12,42.25,41.88,41.97,9773000,41.03988
10/07/2014,41.56,42.29,41.55,42.26,12564500,41.32345
09/07/2014,41.93,42.16,41.79,41.95,9891600,41.02032
08/07/2014,41.97,42.25,41.91,41.94,10090500,41.01054
07/07/2014,41.96,42.2,41.93,42.14,8991900,41.20611
03/07/2014,42.26,42.32,42.01,42.23,7537700,41.29412
02/07/2014,42.31,42.41,42.15,42.29,6707000,41.35279
01/07/2014,42.39,42.45,42.15,42.29,11497700,41.35279
30/06/2014,41.98,42.49,41.82,42.36,14068800,41.42124
27/06/2014,41.99,42.29,41.91,42.19,18674400,41.255
26/06/2014,41.91,42.05,41.78,42.03,16903300,41.09855
25/06/2014,41.6,41.98,41.46,41.96,17621800,41.0301
24/06/2014,41.52,41.89,41.47,41.85,14962800,40.92254
23/06/2014,41.46,41.74,41.33,41.73,13099300,40.8052
20/06/2014,41.87,41.88,41.53,41.69,23402600,40.76608
19/06/2014,41.54,41.87,41.53,41.79,13275200,40.86387
18/06/2014,40.79,41.57,40.75,41.56,18518200,40.63897
17/06/2014,41.18,41.2,40.61,40.92,26926600,40.01315
16/06/2014,40.19,40.77,40.15,40.66,12878200,39.75891
13/06/2014,40.39,40.53,40.25,40.37,9194600,39.47534
12/06/2014,40.41,40.68,40.37,40.42,11583600,39.52423
11/06/2014,40.98,41.06,40.79,40.86,9648600,39.65624
10/06/2014,40.84,41.15,40.81,41.07,9168600,39.86005
09/06/2014,40.85,41.09,40.85,40.91,7316400,39.70477
06/06/2014,40.94,41.06,40.84,40.99,8760600,39.78241
05/06/2014,40.73,41,40.63,40.89,10131700,39.68536
04/06/2014,40.91,40.92,40.71,40.79,7864700,39.5883
03/06/2014,40.72,41,40.71,40.88,10493100,39.67565
02/06/2014,40.75,40.89,40.68,40.86,7472100,39.65624
30/05/2014,40.54,40.92,40.49,40.91,10446100,39.70477
29/05/2014,40.68,40.87,40.6,40.66,9867100,39.46213
28/05/2014,40.7,40.89,40.53,40.58,7536700,39.38449
27/05/2014,40.56,40.82,40.48,40.77,11282900,39.56889
23/05/2014,40.63,40.7,40.53,40.58,6255200,39.38449
22/05/2014,40.77,40.84,40.53,40.58,8430400,39.38449
21/05/2014,40.55,40.88,40.5,40.87,8607300,39.66594
20/05/2014,40.8,40.93,40.57,40.58,9639500,39.38449
19/05/2014,40.6,40.73,40.42,40.71,7559500,39.51066
16/05/2014,40.52,40.91,40.45,40.89,13823900,39.68536
15/05/2014,40.62,40.96,40.44,40.52,12379200,39.32626
14/05/2014,41.02,41.18,40.83,40.89,10036100,39.68536
13/05/2014,40.83,41.22,40.82,41.11,11579600,39.89888
12/05/2014,40.88,40.97,40.69,40.82,8906000,39.61742
09/05/2014,40.78,40.95,40.71,40.87,8516400,39.66594
08/05/2014,40.85,40.96,40.65,40.73,8538700,39.53007
07/05/2014,40.7,40.97,40.63,40.91,11115600,39.70477
06/05/2014,40.52,40.66,40.45,40.49,9359900,39.29714
05/05/2014,40.65,40.93,40.55,40.76,10163500,39.55919
02/05/2014,40.79,40.96,40.63,40.95,14197000,39.74359
01/05/2014,40.79,40.8,40.26,40.78,15385800,39.57859
30/04/2014,40.69,40.88,40.59,40.79,12362000,39.5883
29/04/2014,40.97,41.03,40.52,40.57,18928400,39.37478
28/04/2014,40.82,41.28,40.74,41.03,20736700,39.82123
25/04/2014,40.46,41.01,40.44,41.01,16811400,39.80182
24/04/2014,40.7,40.89,40.46,40.7,11392600,39.50095
23/04/2014,40.7,40.81,40.56,40.73,12072500,39.53007
22/04/2014,40.58,40.76,40.42,40.71,17404900,39.51066
21/04/2014,40.47,40.76,40.35,40.75,12630900,39.54948
17/04/2014,40.43,40.72,40.25,40.72,18547100,39.52037
16/04/2014,40.12,40.59,40.12,40.59,21919900,39.3942
15/04/2014,39.83,40.47,39.5,40.18,47529200,38.99627
14/04/2014,38.71,38.8,38.4,38.73,19389800,37.58899
11/04/2014,38.83,39.22,38.57,38.63,18084200,37.49194
10/04/2014,38.98,39.4,38.82,38.89,21025700,37.74428
09/04/2014,38.84,38.99,38.7,38.99,12031400,37.84133
08/04/2014,38.67,38.9,38.48,38.9,14769900,37.75398
07/04/2014,38.27,38.89,38.26,38.62,17295700,37.48223
04/04/2014,38.24,38.48,38.14,38.22,15453600,37.09402
03/04/2014,38.39,38.49,38.04,38.07,18114000,36.94843
02/04/2014,38.49,38.54,38.3,38.33,15709100,37.20078
01/04/2014,38.53,38.89,38.31,38.41,20515700,37.27842
31/03/2014,38.99,39.03,38.46,38.66,24489800,37.52105
28/03/2014,38.89,39.03,38.82,38.95,11502100,37.80251
27/03/2014,38.51,39,38.48,38.82,13031500,37.67634
26/03/2014,38.69,38.94,38.61,38.61,15835500,37.47253
25/03/2014,38.49,38.8,38.46,38.62,16898900,37.48223
24/03/2014,38.48,38.53,38.21,38.4,15693000,37.26871
21/03/2014,38.78,38.83,38.28,38.44,19189100,37.30753
20/03/2014,38.11,38.47,37.95,38.45,13228000,37.31724
19/03/2014,38.36,38.59,38.1,38.14,20882200,37.01637
18/03/2014,38.27,38.46,38.14,38.4,16880400,37.26871
17/03/2014,38.17,38.37,38.05,38.27,19203000,37.14254
14/03/2014,37.95,38.32,37.88,38.17,14687200,37.04549
13/03/2014,38.45,38.49,37.92,37.97,18302800,36.85138
12/03/2014,38.27,38.5,38.21,38.47,15673700,37.33665
11/03/2014,38.84,38.84,38.54,38.8,13812100,37.36091
10/03/2014,38.55,38.65,38.44,38.65,14540800,37.21648
07/03/2014,38.56,38.61,38.36,38.55,17047600,37.12019
06/03/2014,38.4,38.55,38.27,38.47,14700000,37.04315
05/03/2014,38.42,38.45,38.25,38.35,14367400,36.9276
04/03/2014,38.34,38.39,38.23,38.31,20425200,36.88909
03/03/2014,37.88,38.16,37.85,38.12,18683400,36.70613
28/02/2014,38.08,38.39,38.04,38.2,15763200,36.78317
27/02/2014,37.84,38.11,37.8,38.07,18423400,36.65799
26/02/2014,37.9,37.94,37.72,37.87,18195100,36.4654
25/02/2014,37.63,37.94,37.5,37.77,22845500,36.36911
24/02/2014,37.3,37.6,37.22,37.5,24223500,36.10913
21/02/2014,37.59,37.62,37.14,37.18,19419800,35.801
20/02/2014,37.06,37.52,36.89,37.3,22639900,35.91655
19/02/2014,37.5,37.6,37.05,37.1,26645100,35.72396
18/02/2014,37.98,38.11,37.26,37.47,46098500,36.08024
14/02/2014,38.6,39.02,38.27,38.93,16030100,37.48609
13/02/2014,38.13,38.76,38.13,38.65,10435600,37.21648
12/02/2014,38.85,38.92,38.4,38.51,10633400,37.08167
11/02/2014,38.67,38.78,38.51,38.64,15361300,37.20685
10/02/2014,38.07,38.62,37.84,38.57,20877200,37.13944
07/02/2014,38.17,38.35,37.87,37.95,20389000,36.54244
06/02/2014,38.76,38.94,37.92,38.03,22661500,36.61947
05/02/2014,37.49,37.72,37.38,37.61,13665200,36.21505
04/02/2014,37.44,37.55,37.21,37.48,17759700,36.08987
03/02/2014,38.02,38.02,37.1,37.2,23164900,35.82026
31/01/2014,37.95,38.16,37.72,37.82,16185000,36.41726
30/01/2014,38,38.41,38,38.17,13662000,36.75428
29/01/2014,38.57,38.57,37.82,37.9,23776100,36.49429
28/01/2014,38.77,39.08,38.62,38.87,8915500,37.42831
27/01/2014,38.82,38.98,38.71,38.73,14601900,37.29351
24/01/2014,39.08,39.25,38.82,38.84,16507500,37.39943
23/01/2014,39.61,39.64,39.12,39.24,14828100,37.7846
22/01/2014,39.99,40.09,39.75,39.9,9841700,38.42012
21/01/2014,39.64,39.92,39.53,39.92,17579000,38.43937
17/01/2014,39.72,39.75,39.28,39.28,13992700,37.82311
16/01/2014,39.78,39.82,39.58,39.71,11063100,38.23716
15/01/2014,39.83,39.94,39.58,39.76,12844900,38.28531
14/01/2014,39.64,39.92,39.58,39.69,12801100,38.2179
13/01/2014,40,40.13,39.5,39.53,14091900,38.06384
