Date,Open,High,Low,Close,Volume,Adj Close
09/05/2014,125.39,126.07,124.64,125.03,4826100,120.61246
08/05/2014,125.7,126.13,124.87,125.09,5009800,120.67034
07/05/2014,125.95,126.78,125.64,126.23,5436000,121.77007
06/05/2014,125,125.69,124.52,124.97,5600000,120.55459
05/05/2014,124.82,125.85,124.34,125.36,4224400,120.93081
02/05/2014,123.9,125.8,123.58,124.72,5406100,120.31342
01/05/2014,125.66,125.76,124.28,124.94,6379600,120.52565
30/04/2014,125.76,125.98,125.31,125.52,6123500,121.08515
29/04/2014,125.92,127.27,125.76,125.97,6666800,121.51926
28/04/2014,124.26,126.06,124.25,125.73,7687800,121.28773
25/04/2014,124.23,124.7,123.58,123.99,5776300,119.60921
24/04/2014,124.84,124.92,124.14,124.3,5185300,119.90826
23/04/2014,124.19,124.96,124.19,124.69,5596300,120.28448
22/04/2014,123.87,124.35,123.61,124,5849200,119.61886
21/04/2014,123.05,124.4,123.05,124.24,6351100,119.85038
17/04/2014,121.72,123.85,121.72,123.68,8604900,119.31017
16/04/2014,120.9,122.12,120.9,121.83,7277000,117.52553
15/04/2014,118.71,120.31,118.34,120.3,7681900,116.04959
14/04/2014,117.84,118.83,117.34,118.7,6817700,114.50611
11/04/2014,116.5,117.73,116.5,117.03,7028800,112.89512
10/04/2014,117.2,118.06,116.55,116.69,8769200,112.56714
09/04/2014,117.83,119.25,117.59,119.1,5376500,114.89198
08/04/2014,117.66,118.31,117.18,117.8,4706100,113.63792
07/04/2014,118.32,118.82,117.34,117.34,5241300,113.19417
04/04/2014,119.75,119.75,118.59,118.8,5301300,114.60258
03/04/2014,119.78,119.79,118.89,119.04,4446400,114.83411
02/04/2014,118.52,119.54,118.52,119.35,4505600,115.13315
01/04/2014,119.15,119.61,118.84,119,5391400,114.79552
31/03/2014,118.79,119.62,118.49,118.91,5482700,114.7087
28/03/2014,118.13,118.55,117.7,118.5,5875100,114.31319
27/03/2014,117.75,117.99,116.83,117.67,5224600,113.5125
26/03/2014,117.8,118.28,117.36,117.71,5971600,113.55109
25/03/2014,116.23,117.19,116.21,117.09,5573000,112.953
24/03/2014,116,116.69,115.65,115.85,5386900,111.75681
21/03/2014,116.29,118,115.58,115.63,14893600,111.54459
20/03/2014,114.85,116.08,114.32,115.51,5280600,111.42883
19/03/2014,115.88,116.74,114.66,115.2,5569600,111.12978
18/03/2014,115.62,116.56,115.2,116.24,6329600,112.13303
17/03/2014,114.26,115.29,114.13,115.07,5894500,111.00437
14/03/2014,114.36,114.9,113.68,114.1,6280000,110.06864
13/03/2014,115.6,115.75,114.12,114.45,5405100,110.40627
12/03/2014,114.14,116.36,114.13,115.65,6812900,111.56388
11/03/2014,115.9,116.23,114.24,114.51,6274300,110.46416
10/03/2014,115.45,115.94,114.12,115.84,6203000,111.74716
07/03/2014,115.07,115.95,114.64,115.08,5055600,111.01402
06/03/2014,114.71,115.15,114.35,114.85,5179600,110.79214
05/03/2014,115.08,115.26,114.01,114.43,6703700,110.38699
04/03/2014,115.89,116.27,115.26,115.32,5611500,111.24554
03/03/2014,114.79,116.19,114.26,114.84,6046200,110.78249
28/02/2014,115.87,116.74,114.81,115.33,6944600,111.25519
27/02/2014,115.66,115.82,114.56,115.69,4922600,111.60247
26/02/2014,114.82,115.86,114.4,115.51,6113800,111.42883
25/02/2014,114.37,115.44,114.24,114.97,5976100,110.90791
24/02/2014,113.37,115,113.05,114.15,7337900,110.11687
21/02/2014,114.72,114.74,112.6,112.68,9221100,108.69881
20/02/2014,113.51,115.33,113.1,114.6,8406900,110.55098
19/02/2014,112.55,115.05,112.47,113.6,7989900,109.58631
18/02/2014,113.86,114.11,112.6,112.71,6106600,108.72775
14/02/2014,112.58,113.83,111.59,113.48,6776400,109.47055
13/02/2014,111.73,112.74,111.18,112.51,5061600,108.53482
12/02/2014,112.89,112.89,111.81,112.03,6422100,108.07178
11/02/2014,112.03,113.87,111.95,113.58,6874700,108.60235
10/02/2014,112.47,112.47,111.08,111.69,9251300,106.79518
